i-th device,j-th device,n-th challenge,dist
0,1,0,0.4524500000000001
0,1,1,0.29180000000000006
0,1,2,0.2968999999999995
0,1,3,0.3189499999999999
0,1,4,0.34955
0,1,5,0.5168999999999997
0,1,6,0.3228499999999998
0,1,7,0.38299999999999984
0,1,8,0.21609999999999996
0,1,9,0.32079999999999986
0,2,0,0.3447499999999998
0,2,1,0.41989999999999983
0,2,2,0.37529999999999925
0,2,3,0.3853500000000001
0,2,4,0.4262500000000003
0,2,5,0.36954999999999993
0,2,6,0.3798500000000002
0,2,7,0.3384499999999999
0,2,8,0.39049999999999985
0,2,9,0.36400000000000005
1,2,0,0.3598999999999998
1,2,1,0.3148499999999997
1,2,2,0.31864999999999977
1,2,3,0.3430499999999998
1,2,4,0.31754999999999994
1,2,5,0.43114999999999987
1,2,6,0.2814499999999998
1,2,7,0.3385499999999998
1,2,8,0.40914999999999996
1,2,9,0.2849499999999997
