i-th device,j-th device,n-th challenge,dist
0,1,0,0.5271500000000124
0,1,1,0.36839999999999046
0,1,2,0.4250499999999896
0,1,3,0.5120999999999856
0,1,4,0.4683499999999852
0,1,5,0.46704999999998525
0,1,6,0.4500999999999849
0,1,7,0.6012500000000092
0,1,8,0.47629999999998535
0,1,9,0.4126499999999892
0,2,0,0.5318000000000154
0,2,1,0.492849999999989
0,2,2,0.41574999999998924
0,2,3,0.5809499999999919
0,2,4,0.5559499999999905
0,2,5,0.5015999999999857
0,2,6,0.47374999999998485
0,2,7,0.5085999999999858
0,2,8,0.5066999999999875
0,2,9,0.47509999999998864
1,2,0,0.44449999999998957
1,2,1,0.4565999999999895
1,2,2,0.39629999999998955
1,2,3,0.42024999999998397
1,2,4,0.45959999999998435
1,2,5,0.3991499999999861
1,2,6,0.4479499999999854
1,2,7,0.4470499999999854
1,2,8,0.4223499999999868
1,2,9,0.4087499999999888
