i-th device,j-th device,n-th challenge,dist
0,1,0,0.5111999999999974
0,1,1,0.452549999999997
0,1,2,0.5276999999999982
0,1,3,0.5657500000000022
0,1,4,0.4187499999999976
0,1,5,0.4246499999999978
0,1,6,0.4522999999999968
0,1,7,0.42874999999999713
0,1,8,0.5395999999999967
0,1,9,0.41574999999999745
0,1,10,0.2580999999999985
0,1,11,0.3442999999999979
0,1,12,0.5047999999999983
0,1,13,0.5653999999999989
0,1,14,0.39629999999999826
0,1,15,0.3643999999999968
0,1,16,0.443199999999998
0,1,17,0.3638999999999983
0,1,18,0.6792500000000012
0,1,19,0.42704999999999643
0,2,0,0.603049999999998
0,2,1,0.6358500000000008
0,2,2,0.47114999999999685
0,2,3,0.6028000000000032
0,2,4,0.38724999999999743
0,2,5,0.5114999999999978
0,2,6,0.5115999999999978
0,2,7,0.41154999999999703
0,2,8,0.4947499999999958
0,2,9,0.5739499999999985
0,2,10,0.4075999999999977
0,2,11,0.3101499999999979
0,2,12,0.4839499999999963
0,2,13,0.5397499999999976
0,2,14,0.42454999999999754
0,2,15,0.43894999999999545
0,2,16,0.4116999999999956
0,2,17,0.5867499999999977
0,2,18,0.6132000000000017
0,2,19,0.5059499999999971
1,2,0,0.31699999999999734
1,2,1,0.5526000000000002
1,2,2,0.47654999999999686
1,2,3,0.35259999999999786
1,2,4,0.35089999999999816
1,2,5,0.4374999999999985
1,2,6,0.3139499999999979
1,2,7,0.4436999999999969
1,2,8,0.4737499999999969
1,2,9,0.39809999999999723
1,2,10,0.3570999999999969
1,2,11,0.3697999999999975
1,2,12,0.44834999999999736
1,2,13,0.5797499999999994
1,2,14,0.3315499999999979
1,2,15,0.5145999999999971
1,2,16,0.5087999999999985
1,2,17,0.5240499999999976
1,2,18,0.5906000000000018
1,2,19,0.30794999999999734
