i-th device,j-th device,n-th challenge,dist
0,1,0,0.7111999999999455
0,1,1,0.6911999999999495
0,1,2,0.7001999999999482
0,1,3,0.7569999999999396
0,1,4,0.6467999999999569
0,1,5,0.6159999999999597
0,1,6,0.7289999999999458
0,1,7,0.654199999999953
0,1,8,0.7891999999999336
0,1,9,0.6041999999999639
0,2,0,0.6991999999999463
0,2,1,0.6895999999999513
0,2,2,0.6969999999999476
0,2,3,0.7565999999999397
0,2,4,0.6441999999999579
0,2,5,0.61179999999996
0,2,6,0.7241999999999459
0,2,7,0.6529999999999528
0,2,8,0.7815999999999349
0,2,9,0.5889999999999643
1,2,0,0.698399999999946
1,2,1,0.6907999999999512
1,2,2,0.6861999999999494
1,2,3,0.7445999999999406
1,2,4,0.6347999999999588
1,2,5,0.6075999999999604
1,2,6,0.7187999999999467
1,2,7,0.6493999999999538
1,2,8,0.773599999999935
1,2,9,0.5955999999999655
