i-th device,j-th device,n-th challenge,dist
0,1,0,0.346049999999991
0,1,1,0.35574999999998874
0,1,2,0.34544999999998954
0,1,3,0.36544999999999067
0,1,4,0.3140499999999895
0,1,5,0.3068499999999928
0,1,6,0.3201499999999872
0,1,7,0.3254999999999915
0,1,8,0.302199999999993
0,1,9,0.37384999999998836
0,1,10,0.3631499999999878
0,1,11,0.31009999999999227
0,1,12,0.3053999999999962
0,1,13,0.3265499999999906
0,1,14,0.3509499999999897
0,1,15,0.2998499999999954
0,1,16,0.3183499999999926
0,1,17,0.34474999999999034
0,1,18,0.3428499999999903
0,1,19,0.2990999999999911
