i-th device,j-th device,n-th challenge,dist
0,1,0,0.2387
0,1,1,0.28834999999999994
0,1,2,0.14874999999999994
0,1,3,0.27759999999999996
0,1,4,0.21069999999999975
0,1,5,0.34779999999999994
0,1,6,0.15469999999999975
0,1,7,0.19314999999999977
0,1,8,0.26869999999999994
0,1,9,0.2373999999999998
0,2,0,0.21784999999999988
0,2,1,0.1902
0,2,2,0.2151499999999998
0,2,3,0.29745000000000005
0,2,4,0.35574999999999984
0,2,5,0.13660000000000005
0,2,6,0.2985499999999994
0,2,7,0.1905999999999999
0,2,8,0.3094999999999995
0,2,9,0.1708999999999999
1,2,0,0.2793999999999999
1,2,1,0.24674999999999983
1,2,2,0.23049999999999982
1,2,3,0.27804999999999996
1,2,4,0.3685499999999998
1,2,5,0.33665000000000006
1,2,6,0.3177499999999996
1,2,7,0.22184999999999983
1,2,8,0.2828999999999998
1,2,9,0.2514999999999997
