i-th device,j-th device,n-th challenge,dist
0,1,0,0.25679999999999986
0,1,1,0.45304999999999984
0,1,2,0.28979999999999995
0,1,3,0.3624999999999997
0,1,4,0.28135
0,1,5,0.2951499999999996
0,1,6,0.3172500000000001
0,1,7,0.38439999999999985
0,1,8,0.2033499999999998
0,1,9,0.33439999999999975
0,1,10,0.22784999999999989
0,1,11,0.23670000000000002
0,1,12,0.3233499999999996
0,1,13,0.31360000000000005
0,1,14,0.23509999999999984
0,1,15,0.25770000000000004
0,1,16,0.3008
0,1,17,0.2568
0,1,18,0.23240000000000008
0,1,19,0.6737500000000002
