i-th device,j-th device,n-th challenge,dist
0,1,0,0.38534999999999814
0,1,1,0.47559999999999786
0,1,2,0.352449999999999
0,1,3,0.40389999999999837
0,1,4,0.35329999999999845
0,1,5,0.38834999999999875
0,1,6,0.422149999999998
0,1,7,0.4186999999999992
0,1,8,0.4077499999999984
0,1,9,0.39509999999999795
0,1,10,0.41754999999999776
0,1,11,0.39689999999999803
0,1,12,0.3888499999999987
0,1,13,0.4179499999999986
0,1,14,0.4156499999999985
0,1,15,0.36699999999999755
0,1,16,0.3842999999999993
0,1,17,0.355899999999998
0,1,18,0.5095999999999982
0,1,19,0.49644999999999806
