i-th device,j-th device,n-th challenge,dist
0,1,0,0.547799999999984
0,1,1,0.4915999999999832
0,1,2,0.6727999999999801
0,1,3,0.54899999999998
0,1,4,0.49519999999998937
0,1,5,0.602999999999978
0,1,6,0.49929999999998514
0,1,7,0.7114999999999742
0,1,8,0.5248999999999857
0,1,9,0.6117999999999821
0,2,0,0.5690999999999844
0,2,1,0.5477999999999809
0,2,2,0.6568999999999803
0,2,3,0.5483999999999802
0,2,4,0.5416999999999893
0,2,5,0.4896999999999814
0,2,6,0.515699999999984
0,2,7,0.7369999999999743
0,2,8,0.5747999999999855
0,2,9,0.7044999999999793
1,2,0,0.5232999999999873
1,2,1,0.46089999999998477
1,2,2,0.3705999999999884
1,2,3,0.4529999999999843
1,2,4,0.39859999999998996
1,2,5,0.48269999999998386
1,2,6,0.39609999999998624
1,2,7,0.42859999999998905
1,2,8,0.4417999999999877
1,2,9,0.48649999999998567
