i-th device,j-th device,n-th challenge,dist
0,1,0,0.5425999999999964
0,1,1,0.4984999999999976
0,1,2,0.3624999999999969
0,1,3,0.32799999999999874
0,1,4,0.33759999999999885
0,1,5,0.542799999999996
0,1,6,0.4515999999999976
0,1,7,0.4102999999999982
0,1,8,0.39089999999999736
0,1,9,0.4584999999999975
0,2,0,0.3499999999999971
0,2,1,0.43519999999999853
0,2,2,0.413499999999997
0,2,3,0.41939999999999755
0,2,4,0.3449999999999982
0,2,5,0.4582999999999973
0,2,6,0.3196999999999981
0,2,7,0.39399999999999835
0,2,8,0.39269999999999766
0,2,9,0.42159999999999753
1,2,0,0.45469999999999716
1,2,1,0.3170999999999983
1,2,2,0.3158999999999974
1,2,3,0.3556999999999982
1,2,4,0.25919999999999915
1,2,5,0.3232999999999974
1,2,6,0.36779999999999735
1,2,7,0.2549999999999995
1,2,8,0.33159999999999773
1,2,9,0.38959999999999734
