i-th device,j-th device,n-th challenge,dist
0,1,0,0.6227999999999838
0,1,1,0.5713999999999825
0,1,2,0.7349999999999798
0,1,3,0.5881999999999805
0,1,4,0.5699999999999924
0,1,5,0.6573999999999776
0,1,6,0.5329999999999863
0,1,7,0.7583999999999762
0,1,8,0.5635999999999866
0,1,9,0.6707999999999831
0,2,0,0.611799999999984
0,2,1,0.6057999999999802
0,2,2,0.7185999999999793
0,2,3,0.6069999999999787
0,2,4,0.5959999999999911
0,2,5,0.5521999999999825
0,2,6,0.5815999999999844
0,2,7,0.7741999999999766
0,2,8,0.6179999999999873
0,2,9,0.7463999999999787
1,2,0,0.5497999999999885
1,2,1,0.5311999999999849
1,2,2,0.41999999999998955
1,2,3,0.4991999999999869
1,2,4,0.4541999999999926
1,2,5,0.5349999999999836
1,2,6,0.47119999999998724
1,2,7,0.4805999999999915
1,2,8,0.5095999999999916
1,2,9,0.5471999999999855
