i-th device,j-th device,n-th challenge,dist
0,1,0,0.20559999999999998
0,1,1,0.18059999999999998
0,1,2,0.15980000000000005
0,1,3,0.21499999999999983
0,1,4,0.2537999999999999
0,1,5,0.19599999999999998
0,1,6,0.1898
0,1,7,0.20220000000000005
0,1,8,0.19319999999999998
0,1,9,0.24260000000000012
0,2,0,0.11540000000000018
0,2,1,0.11720000000000025
0,2,2,0.1306000000000002
0,2,3,0.10940000000000027
0,2,4,0.09500000000000006
0,2,5,0.08800000000000006
0,2,6,0.11200000000000017
0,2,7,0.14600000000000007
0,2,8,0.1032000000000001
0,2,9,0.16920000000000018
1,2,0,0.19420000000000015
1,2,1,0.18339999999999973
1,2,2,0.22779999999999984
1,2,3,0.18799999999999975
1,2,4,0.25539999999999985
1,2,5,0.18640000000000007
1,2,6,0.18859999999999993
1,2,7,0.1808000000000001
1,2,8,0.20400000000000001
1,2,9,0.21500000000000016
