i-th device,j-th device,n-th challenge,dist
0,1,0,0.18229999999999993
0,1,1,0.2660499999999997
0,1,2,0.24289999999999964
0,1,3,0.13175
0,1,4,0.2885999999999996
0,1,5,0.4924999999999995
0,1,6,0.21125000000000002
0,1,7,0.1861999999999998
0,1,8,0.17909999999999993
0,1,9,0.17314999999999994
0,2,0,0.4184999999999999
0,2,1,0.33469999999999944
0,2,2,0.39129999999999965
0,2,3,0.1945499999999998
0,2,4,0.29829999999999957
0,2,5,0.5563499999999998
0,2,6,0.20579999999999993
0,2,7,0.2912999999999996
0,2,8,0.28484999999999966
0,2,9,0.29215000000000013
1,2,0,0.41719999999999985
1,2,1,0.4099499999999995
1,2,2,0.37439999999999946
1,2,3,0.20754999999999996
1,2,4,0.2802999999999997
1,2,5,0.2971999999999992
1,2,6,0.23579999999999984
1,2,7,0.2886499999999995
1,2,8,0.2896999999999996
1,2,9,0.3071
