i-th device,j-th device,n-th challenge,dist
0,1,0,0.3330499999999979
0,1,1,0.25634999999999847
0,1,2,0.30824999999999847
0,1,3,0.303999999999998
0,1,4,0.5362999999999993
0,1,5,0.30664999999999787
0,1,6,0.4530499999999961
0,1,7,0.34184999999999743
0,1,8,0.21794999999999878
0,1,9,0.5526499999999982
0,1,10,0.2125999999999987
0,1,11,0.32844999999999763
0,1,12,0.34514999999999857
0,1,13,0.3835999999999965
0,1,14,0.3779999999999981
0,1,15,0.3602999999999973
0,1,16,0.28774999999999756
0,1,17,0.4873999999999975
0,1,18,0.36009999999999726
0,1,19,0.39954999999999774
