i-th device,j-th device,n-th challenge,dist
0,1,0,0.3119999999999993
0,1,1,0.4097999999999996
0,1,2,0.2792999999999999
0,1,3,0.23529999999999995
0,1,4,0.25560000000000005
0,1,5,0.25550000000000006
0,1,6,0.23099999999999998
0,1,7,0.29539999999999983
0,1,8,0.22350000000000014
0,1,9,0.213
0,2,0,0.2302000000000001
0,2,1,0.16729999999999995
0,2,2,0.20449999999999993
0,2,3,0.18279999999999988
0,2,4,0.21899999999999994
0,2,5,0.22889999999999994
0,2,6,0.17750000000000007
0,2,7,0.1978999999999998
0,2,8,0.14440000000000003
0,2,9,0.17510000000000006
1,2,0,0.33739999999999915
1,2,1,0.4025999999999997
1,2,2,0.2704
1,2,3,0.25390000000000007
1,2,4,0.2606999999999998
1,2,5,0.2509999999999999
1,2,6,0.21
1,2,7,0.28469999999999973
1,2,8,0.20700000000000005
1,2,9,0.23679999999999995
